id,data_reclamacao,canal,texto_reclamacao,produto,status
REC-2026-00001,2026-03-24,Banco Central,"Estao me cobrando por um emprestimo que eu NUNCA fiz, roubaram meus dados!!!",Empréstimo,Em análise
REC-2026-00002,2026-03-30,SAC,fui resgatar meu fundo de investimento e o dinheiro sumiu. onde foi parar???,Investimentos,Aberta
REC-2026-00003,2026-02-09,Ouvidoria,"quero transferir minha custodia pra outra corretora, ninguem me ajuda.",Investimentos,Resolvida
REC-2026-00004,2025-12-10,Ouvidoria,Fizeram um saque indevido na minha conta ontem a noite. Socorro!!,Conta Corrente,Em análise
REC-2026-00005,2026-03-04,Banco Central,fui cobrado duas vezes na fatura do cartão e ninguém resolve...,Cartão de Crédito,Aberta
REC-2026-00006,2025-12-13,Redes Sociais,"estao me cobrando por um emprestimo que eu nunca fiz, roubaram meus dados!!!",Empréstimo,Resolvida
REC-2026-00007,2026-03-30,SAC,Transferencia TED voltou e me cobraram a taxa msm assim. Absurdo.,Conta Corrente,Aberta
REC-2026-00008,2026-01-09,Banco Central,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Resolvida
REC-2026-00009,2025-12-09,Redes Sociais,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
REC-2026-00010,2026-01-09,Ouvidoria,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Resolvida
REC-2026-00011,2026-02-04,Ouvidoria,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Em análise
REC-2026-00012,2026-03-30,Redes Sociais,Alguém ligou se passando por funcionário de vcs pedindo meus dados.,,Aberta
REC-2026-00013,2025-12-04,Ouvidoria,"O pix que eu fiz nao caiu na conta do recebedor, sumiu meu dinheiro!",Conta Corrente,Em análise
REC-2026-00014,2026-02-14,Ouvidoria,"Péssimo atendimento no SAC, fiquei 40 minutos esperando e a ligação caiu.",,Aberta
REC-2026-00015,2026-01-14,SAC,"Acionei o seguro do carro e a franquia ta um roubo, propaganda enganosa.",Seguros,Resolvida
REC-2026-00016,2026-03-14,Banco Central,"O cartao fisico ainda nao chegou na minha casa, ja faz 1 mes.",Cartão de Crédito,Em análise
